question,prediction,expected_output,score,logprob
"A woman hands a young boy a stick with a little girl grabbing for her attention. the pinata
Choices:
A) is lifted and the boy begins swinging at the object.
B) pops, and a child in white attempts to hit the pinata, but fails.
C) pops out of the playground.
D) is hit one after the other, and the girl lets go her hold.

Answer with the single letter (A, B, C, or D) of the correct choice.",'HellaSwagBenchmark' object has no attribute '_generate_output',0,0.0,tensor(0.)
"A woman hands a young boy a stick with a little girl grabbing for her attention. The pinata is lifted and the boy begins swinging at the object. the camera
Choices:
A) zooms in on the pinata and then the girl.
B) is upside down so everyone else can't see the object.
C) pans around people watching while he hits the pinata and a little boy is seen clapping behind him.
D) zooms in on the boy's head and he looks at the pinata person in the background.

Answer with the single letter (A, B, C, or D) of the correct choice.",'HellaSwagBenchmark' object has no attribute '_generate_output',2,0.0,tensor(0.)
"A woman is playing a violin on the street while various people walk around here and behind her. she
Choices:
A) continues to play violin while people pass by her.
B) continues playing the violin and beginning to intermittently move the sticks up and down.
C) smiles into the camera while playing and continues playing the song while several people bend down to tip her and walk around her.
D) finishes and walks off, leaving the violin lying on the ground.

Answer with the single letter (A, B, C, or D) of the correct choice.",'HellaSwagBenchmark' object has no attribute '_generate_output',2,0.0,tensor(0.)
"Various pictures of food are shown followed by a person cutting up vegetables and mixing various ingredients into a pot. he
Choices:
A) shows how the vegetables are chopped for seasoning and then sprinkled into broth and shown with the water boiling.
B) cooks up a meal and each are shown eating inside the pot.
C) boils food into a bowl and then adds some part of a salad into the bowl.
D) then cuts up a piece of bread, scoops out the insides, and fries up some meat.

Answer with the single letter (A, B, C, or D) of the correct choice.",'HellaSwagBenchmark' object has no attribute '_generate_output',3,0.0,tensor(0.)
"Ingredients are sitting on a wooden block. a person
Choices:
A) adds flour to a baking pan.
B) starts mixing the ingredients together.
C) puts salt, lemon juice in a pot, then adds eggs, cheese, ham, and some other hoagies.
D) is mixing the ingredients in an iron.

Answer with the single letter (A, B, C, or D) of the correct choice.",'HellaSwagBenchmark' object has no attribute '_generate_output',1,0.0,tensor(0.)
"A man is seen walking closer to a pinata while a large group of people stand around him. the man
Choices:
A) shows off various tapers while swinging at the pinata and throwing them out to the crowd.
B) then throws the pin while others watch on the sides.
C) spins around several times and throws the stick.
D) misses the pinata and hits a person behind him, shown again in slow motion.

Answer with the single letter (A, B, C, or D) of the correct choice.",'HellaSwagBenchmark' object has no attribute '_generate_output',3,0.0,tensor(0.)
"A pair of female hands uses an iron on a piece of baby clothing. the woman
Choices:
A) wets the garment and scrubs it with a cloth.
B) peels the old clothing off the piece and replaces it with dry material.
C) sets the iron aside and flips the clothing.
D) wraps the garment on top of the blouse, then irons it.

Answer with the single letter (A, B, C, or D) of the correct choice.",'HellaSwagBenchmark' object has no attribute '_generate_output',2,0.0,tensor(0.)
"A pair of female hands uses an iron on a piece of baby clothing. The woman sets the iron aside and flips the clothing. the woman
Choices:
A) then undresses and irons the shirt.
B) places a pair of pants into a bucket.
C) shows how to iron a sock correctly.
D) uses the iron on the other side of the clothing.

Answer with the single letter (A, B, C, or D) of the correct choice.",'HellaSwagBenchmark' object has no attribute '_generate_output',3,0.0,tensor(0.)
"The woman sets the iron aside and flips the clothing. The woman uses the iron on the other side of the clothing. the woman
Choices:
A) scrubs the clothing with her hands.
B) quickly picks up and irons, flames dancing over the clothing.
C) sets the iron aside.
D) crosses her arms in front of her and it's gone.

Answer with the single letter (A, B, C, or D) of the correct choice.",'HellaSwagBenchmark' object has no attribute '_generate_output',2,0.0,tensor(0.)
"We see a chair with a pillow on it. a man holding a cat
Choices:
A) does curling.
B) starts hitting objects on an item.
C) sits down on the chair.
D) is wrapping a box.

Answer with the single letter (A, B, C, or D) of the correct choice.",'HellaSwagBenchmark' object has no attribute '_generate_output',2,0.0,tensor(0.)
"We see a chair with a pillow on it. A man holding a cat sits down on the chair. The man clips the cats fingernails. the man
Choices:
A) strokes the cat's head.
B) then clips the cat nails.
C) puts the cat down and boxes it with paper.
D) gives the cats ears.

Answer with the single letter (A, B, C, or D) of the correct choice.",'HellaSwagBenchmark' object has no attribute '_generate_output',0,0.0,tensor(0.)
"A man holding a cat sits down on the chair. The man clips the cats fingernails. The man strokes the cat's head. the man
Choices:
A) sits back down on the chair.
B) takes the cat to the other room.
C) stands up and walks down the sidewalk.
D) plays with the cat rocking it back and forth.

Answer with the single letter (A, B, C, or D) of the correct choice.",'HellaSwagBenchmark' object has no attribute '_generate_output',3,0.0,tensor(0.)
"A young girl in a green leotard begins twirling a baton and doing tricks. the girl
Choices:
A) does this in the beginning while using her foot and one hand to move around her body.
B) begins to do some of her routine and does a few hip spins.
C) puts their hands together, and twirl together like a ballet dancer.
D) begins to incorporate her arms and does a flip and continues to flip the baton over her hands and arms.

Answer with the single letter (A, B, C, or D) of the correct choice.",'HellaSwagBenchmark' object has no attribute '_generate_output',3,0.0,tensor(0.)
"The girl begins to incorporate her arms and does a flip and continues to flip the baton over her hands and arms. as the young lady
Choices:
A) continues her performance, she twirls the baton between her legs and over her head, catches it and does a gallop.
B) is still serving the baton, she places the extension on her left hand and does a full 180 degree spin in one flip.
C) becomes more involved in the ballet, she does a final dismount to bring her elbows down and her upper body straight.
D) is zapping her arms and is practicing her baton twirling technique, she grabs the baton from the ground and shows herself victorious while her coach claps.

Answer with the single letter (A, B, C, or D) of the correct choice.",'HellaSwagBenchmark' object has no attribute '_generate_output',0,0.0,tensor(0.)
"As the young lady continues her performance, she twirls the baton between her legs and over her head, catches it and does a gallop. the rest of the young girl's performance
Choices:
A) is replayed in slow motion.
B) is a set of twirls and twist and then she runs off the floor to finish her performance.
C) is shown several times and ends by showcasing her back to the both the camera and a final focus of her performance.
D) is replayed, ending with the young lady clapping her hands joyfully.

Answer with the single letter (A, B, C, or D) of the correct choice.",'HellaSwagBenchmark' object has no attribute '_generate_output',1,0.0,tensor(0.)
"We see a man in a driveway cleaning snow from his car. the man
Choices:
A) cleans the snow under his windshield wipers.
B) wet his car and wipes it down.
C) moves the snow out of the front bumper of his car and pours gasoline on it.
D) removes the pieces of the line off his windshield.

Answer with the single letter (A, B, C, or D) of the correct choice.",'HellaSwagBenchmark' object has no attribute '_generate_output',0,0.0,tensor(0.)
"We see a man in a driveway cleaning snow from his car. The man cleans the snow under his windshield wipers. we
Choices:
A) see the old man's garage and what looks like a boat in the water.
B) see the building behind the car.
C) zoom in on the cabin.
D) see the mans silver car gliding by in the background.

Answer with the single letter (A, B, C, or D) of the correct choice.",'HellaSwagBenchmark' object has no attribute '_generate_output',1,0.0,tensor(0.)
"The man cleans the snow under his windshield wipers. We see the building behind the car. We do a 360 spin to see the parking lot. the man
Choices:
A) finishes and turns off the wipers.
B) opens the doors on his car and gets in.
C) finishes and slides out of the car.
D) puts up the camera.

Answer with the single letter (A, B, C, or D) of the correct choice.",'HellaSwagBenchmark' object has no attribute '_generate_output',1,0.0,tensor(0.)
"A man in a blue shirt and shorts lifts a large weight over his head. Another man is filming it. The same man comes back and lifts the weight over his head again. he
Choices:
A) drops it on the ground and walks away.
B) again lifts the weight over his head.
C) drops it and runs towards the camera.
D) drops it onto the floor where it gets stuck.

Answer with the single letter (A, B, C, or D) of the correct choice.",'HellaSwagBenchmark' object has no attribute '_generate_output',0,0.0,tensor(0.)
"A man is seen throwing a dart onto a board and leads into a woman speaking. the man
Choices:
A) tosses darts into the water while people measure the distance and run after them.
B) gives her several tips and she continues creating darts.
C) throws several more darts while taking the time to speak to the woman.
D) holds behind him and the woman continues speaking.

Answer with the single letter (A, B, C, or D) of the correct choice.",'HellaSwagBenchmark' object has no attribute '_generate_output',2,0.0,tensor(0.)
"A group of people are standing in the middle of a forest with a trail of pebbles separating them from a beautiful crystal clear body of water. the camera
Choices:
A) then goes right side up and shows a lot of scenery on the left side.
B) follows the couple kayaking behind the group on the trail moving back and fourth on the murky water in the forest.
C) moves across the water and several people on boats and jet-skis are moving in the water near a large wave.
D) zooms in on the foamy waters as well as the nearby cliffs and forest surrounding it.

Answer with the single letter (A, B, C, or D) of the correct choice.",'HellaSwagBenchmark' object has no attribute '_generate_output',2,0.0,tensor(0.)
"The camera moves across the water and several people on boats and jet-skis are moving in the water near a large wave. More large waves begin to surface and a man begins surfing the waves. the forest
Choices:
A) is then shown clearly under a large wide wave.
B) is then shown and surf boards appear that are washed up against the banks of the water.
C) starts to get darker and darker as the large wave picks up and men continue to sail around it.
D) of trees quickly moves over the trailing wave and they follow suit as well.

Answer with the single letter (A, B, C, or D) of the correct choice.",'HellaSwagBenchmark' object has no attribute '_generate_output',1,0.0,tensor(0.)
"A large patch of grass is shown. a man
Choices:
A) belly flops on some grass before a newscaster announces the story.
B) stretches in front of it.
C) is shown inside while a machine is working.
D) is mowing the yard next to the bushes.

Answer with the single letter (A, B, C, or D) of the correct choice.",'HellaSwagBenchmark' object has no attribute '_generate_output',3,0.0,tensor(0.)
"A pilates instructor on skates explains how to strap your risk protectors tight and shows that you need knee pads to protect your knees. the lady
Choices:
A) starts with two small straps and it puts her into a squatting position with feet fully placed over her knee and her hands suspended and ready.
B) then explains the skates movement and how to use the breaks that is in the back of the skates.
C) then puts lotion in both of her hands and rubs them along your knees while the instructor washes them.
D) shows how to harness and strap your weight on properly and she moves away from the mounting as she reaches for her left knee.

Answer with the single letter (A, B, C, or D) of the correct choice.",'HellaSwagBenchmark' object has no attribute '_generate_output',1,0.0,tensor(0.)
"A woman wearing a tan apron is holding a knife and talking. She then shows an appliance on the table and tilts it upwards. she
Choices:
A) turns a dial on the appliance and sets it back down.
B) continues sliding the blade over the appliance.
C) takes a quarter of an inch of the device and holds it against a piece of cake.
D) removes a lemon from a jar and places it into a pot.

Answer with the single letter (A, B, C, or D) of the correct choice.",'HellaSwagBenchmark' object has no attribute '_generate_output',0,0.0,tensor(0.)
"She then shows an appliance on the table and tilts it upwards. She turns a dial on the appliance and sets it back down. she
Choices:
A) shows several shots of the chair in the end.
B) picks the knife back up and places it on the appliance.
C) pokes the vacuum nozzle in the top seam of the vacuum cleaner and adds fuel to it while still keeping the vacuum nozzle up.
D) also shows how to use tubing no a string is attached to it and she explaining the use of the tubing.

Answer with the single letter (A, B, C, or D) of the correct choice.",'HellaSwagBenchmark' object has no attribute '_generate_output',1,0.0,tensor(0.)
"She turns a dial on the appliance and sets it back down. She picks the knife back up and places it on the appliance. she
Choices:
A) gets up and starts brushing the blade.
B) uses a tool to pinch the wax off of the knife.
C) turns the dial again on the appliance.
D) jumps up and throws something into a container shaped like a snowboard.

Answer with the single letter (A, B, C, or D) of the correct choice.",'HellaSwagBenchmark' object has no attribute '_generate_output',2,0.0,tensor(0.)
"She picks the knife back up and places it in the appliance and slowly draws it back several times. she
Choices:
A) slices a tomato on a wood block with the knife.
B) removes the rubber band off of the knife and gets it across the blade.
C) continues using the appliance to put the fancy knife on the box.
D) stands up from the chair and walks towards the stairs before finally leaving the room.

Answer with the single letter (A, B, C, or D) of the correct choice.",'HellaSwagBenchmark' object has no attribute '_generate_output',0,0.0,tensor(0.)
"She picks the knife back up and places it in the appliance and slowly draws it back several times. She slices a tomato on a wood block with the knife. she
Choices:
A) decorates the knife with green and red maracas.
B) positions the knife front and back and finishes by pushing it straight across the square board.
C) then demonstrates how to sharpen the knife and finishes by putting a metal rod in front of the plate of spaghetti that she just sharpened.
D) grabs a second knife and puts it in the appliance.

Answer with the single letter (A, B, C, or D) of the correct choice.",'HellaSwagBenchmark' object has no attribute '_generate_output',3,0.0,tensor(0.)
"A man wearing a black clothes is sharpening the knife on a stone. The man beside him on blue long sleeves drawing something on the table with his finger. the man
Choices:
A) continues sharpening the knife and standing on the middle of the stone.
B) turn the knife to sharpen the other side and then wipe it with paper towel.
C) stops sharpening the knife and draws on the stone again.
D) down retracts from the knife and starts sharpening the knife back up again.

Answer with the single letter (A, B, C, or D) of the correct choice.",'HellaSwagBenchmark' object has no attribute '_generate_output',1,0.0,tensor(0.)
"A man is seen speaking to the camera while a shot of a person playing basketball shows behind. the man
Choices:
A) continues going around the basket while the camera is sitting in the back.
B) continues to speak and leads into more clips of him playing tennis.
C) pulls the ball up on the court while still speaking to the camera.
D) continues speaking as more shots are shown of the boy playing basketball.

Answer with the single letter (A, B, C, or D) of the correct choice.",'HellaSwagBenchmark' object has no attribute '_generate_output',3,0.0,tensor(0.)
